@odata.etag,ItemInternalId,SL NO,Dept,NO_x002e_,CATEGORY,belt Length,Belt Width,Belt Cover Grade,Abnormality Date,Major Abnormality,Plan as per New Belt philosophy,1ST PLY VISIBLE,2ND PLY VISIBLE,JOINT CONDITION,recommendation,Spare Status,Target Date,Remarks,Status,Notificatio,Abnormality Pending since,Other Abnormalities,Z8 Notification No_x002e_,Status2,Close Date
,fdc1ec3c-f16a-4b07-a547-7411d52f20b8,1,RMPP,BC16(COAL),B,35,1000,SAR70,45696,Belt thickness is reduced & ply is visible,Replace,Yes,No,Critical,Planned,,45873,Belt Replaced,Closed,,>90 days,,,,
,8a65958d-c4a7-43bd-a9c3-d4983c32eb78,2,RMHS,J23C2(IRON),A,160,1000,SAR70,45719,1.st Ply visible along the length of the belt. 2nd ply is visible in multiple areas,Replace,Yes,Yes,OK,Planned,Available,45838,,Closed,,>90 days,,,,
,feed6180-6741-4bc2-9136-4447045d48a8,3,RMPP,JPP2C2,B,358,1000,SAR70,45723,1.st Ply visible along the length of the belt,Replace,Yes,No,OK,Planned,Available,45808,,Closed,,>90 days,,,,
,6a19044b-c02e-4e8a-9d2f-617db6e477ab,4,RMPP,BC2(IRON),A,310,800,SAR70,45723,1.st Ply visible along the length of the belt & 2nd ply is visible in multiple areas.,Replace,Yes,No,Marginal,Planned,Available,45814,Replaced on 06-06-25,Closed,,>90 days,,,,
,0407283f-b2e1-489b-8b08-1f7d7c333723,5,RMPP,RBC2,A,35,1200,SAR70,45723,1.st Ply visible along the length of the belt & 2nd ply is visible in multiple areas.,Replace,Yes,Yes,OK,Planned,Available,45814,Replaced on 06-06-25,Closed,,>90 days,,,,
,d8d520a1-05af-4e37-96c5-f19f3290f116,6,RMPP,OF1C1,C,32,800,SAR70,45726,1.st Ply visible along the length of the belt,Replace,Yes,Yes,OK,Planned,Available,45763,Belt replaced on 16-04-2025,Closed,,>90 days,,,,
,38ed3b47-ed75-4100-98c5-df3a98dc4f03,7,RMPP,OF1AC1,A,52,800,SAR70,45728,1.st Ply visible along the length of the belt,Replace,Yes,,Marginal,Planned,Available,45791,Replaced on 14-05-25,Closed,,>90 days,,,,
,cd5b81ce-d87b-420b-8e65-fcd49aed927a,8,RMPP,BC3(IRON),A,350,650,SAR70,45730,1.st Ply visible along the length of the belt & 2nd ply is visible in multiple areas.,Replace,Yes,Yes,OK,Planned,Available,45814,Replaced on 06-06-25,Closed,,>90 days,,,,
,ea4a0563-06d9-47da-b433-7167c32e0303,9,RMPP,RBC1,A,31,500,SAR70,45730,1.st Ply visible along the length of the belt,Replace,Yes,,Marginal,Planned,Available,45763,Job done 16-04-2025,Closed,,>90 days,,,,
,c8c01aa2-e4d6-42ce-9c84-cb4a952095f6,10,RMHS,J6C1,B,75,1400,SAR70,45730,1.st Ply visible along the length of the belt,Replace,Yes,,Marginal,Planned,Available,45763,Job done 16-04-2025,Closed,,>90 days,,,,
,2d1f388a-60a2-4cb9-b3d2-088369473505,11,RMHS,J5C1,A,1750,1400,SAR70,45731,"1. 2nd Ply visible 1400m (out of 1750m) of length.
2. 3 joints repaired and under observation",Replace,Yes,Yes,Critical,Planned,Available,45865,"RTG inspection done on 10.06.25 
Housekeeping to be maintained as observations are critical.
Jammed idlers to be rectified.
Belt sway & rubbing with structure to be rectified.
",Closed,,>90 days,,,,
,d688eeaa-c282-4184-a983-8174b46412d1,12,RMHS,J5AC1,A,140,1600,SAR70,45731,"1.1st Ply visible along the length of the belt.
2.2nd Ply visible at multiple area",Replace,Yes,,Marginal,Planned,Available,45798,Replaced on 21-05-25,Closed,,>90 days,,,,
,b34cf310-cccb-438f-b1bc-33d5b6a72d5d,13,RMPP,OFBBC1,A,610,800,SAR70,45732,1.st Ply visible along the length of the belt,Replace,Yes,,Marginal,Planned,Available,45775,Belt replaced on 28-04-2025,Closed,,>90 days,,,,
,41b6219b-32f3-4a7d-8b55-974dbbf54a78,14,RMPP,J14C2,A,468,800,SAR70,45750,1.st Ply visible along the length of the belt,Replace,Yes,Yes,Marginal,Planned,Available,45792,Replaced on 15-05-25,Closed,,>90 days,,,,
,c5210e88-5e1c-44c6-89d8-365ce265c9a1,15,SMS#2,FADG1,B,12,800,SAR70,45750,1.st Ply visible on belt top cover.,Replace,Yes,Yes,OK,Planned,Available,45743,Job done 27-03-2025,Closed,,>90 days,,,,
,dda8c45e-9ece-4a26-a80c-2896c67b78de,16,RMPP,OFBBRSC1,A,35,1000,SAR70,45750,Ply was visible & had a premature failure,Replace,Yes,,Marginal,Planned,Available,45795,Replaced on 18-05-25,Closed,,>90 days,,,,
,bc22de3a-7978-4096-b3a5-212bfdefa6df,17,RMHS,REC2,B,30,1600,SAR70,45750,1st ply visible along the length of the belt,Replace,Yes,Yes,Marginal,Planned,Available,45863,Replaced,Closed,,>90 days,,,,
,f7fedbac-bea4-4026-a270-1d42c527c80e,18,SMS#2,T31C1,A,530,800,SAR70,45751,1. Step crack in joint area,Rejoint,No,,Critical,Planned,,45796,Re-joint on 19-05-25,Closed,,>90 days,,,,
,f29cf0e5-e35c-4c83-a977-4d14ecc32792,19,SMS#2,T32C1,A+,395,800,SAR70,45751,1. Step crack in joint area,Rejoint,No,,Critical,Planned,,45796,Re-joint on 19-05-25,Closed,,>90 days,,,,
,820b5252-031c-4968-9930-23112284babf,20,CO#2,25BC11,A+,220,1600,FR,45754,1st Ply visible at center in multiple areas of belt,Replace,Yes,Yes,OK,Operate till complete ply visibile,Not Available ,45796,VMI ORIENTAL on 13.03.25 for 350 mtrs. Tentative will be received on July'25,Closed,,>90 days,,,,
,487e6138-5883-4702-816d-ed7486e31f3f,21,CO#2,25BC12,A+,150,1600,FR,45754,Step crack in 1st step of joint area,Rejoint,No,,Marginal,Planned,Available,45796,Re-joint on 19-05-25,Closed,,>90 days,,,,
,526f5220-58d9-4b02-986c-4ca2d3979a9c,22,CO#1,J40FC1,A+,20,1200,SAR70,45756,2nd ply visible at skirt area,Replace,Yes,Yes,OK,Planned,Available,45780,Replaced on 03-05-25,Closed,,>90 days,,,,
,c5c41647-2e3f-4c30-abdd-20ba79e4449f,23,RMPP,J11C1,A,211,800,SAR70,45759,"1.st Ply visible along the length of the belt & 2nd ply is visible in multiple areas..
2. Ply visible in Joint area.",Replace,Yes,Yes,Marginal,Planned,Available,45792,Replaced on 15-05-25,Closed,,>90 days,,,,
,fc14899a-15a3-4e71-a533-7fc1d68893a8,24,SP#3,SP3-7008,A+,177,1000,HRT3,45760,Multiple cracks in joint area,Replace,No,,Critical,Planned,Available,45796,Replaced on 19-05-25,Closed,,>90 days,,,,
,894c1b91-aa1a-4a34-a7cb-fc585a4ecb9a,25,CO#2,02BC04A,B,51,1800,SAR70,45761,"1. 2nd Ply visible along the length of the belt
2. 3rd ply visible in skirt area",Replace,Yes,,Critical,Planned,Available,45783,Replaced on 06-05-25,Closed,,>90 days,,,,
,eff846d1-70aa-43de-8bed-0239b5e4bf37,26,RMPP,CW1C1,A,370,1200,SAR70,45761,Throughcut & ply visible in return side & return side bottom cover peeled off,Rejoint,No,,Marginal,Planned,Available,45800,"Belt throught cut at edge 330 mm , length above 90 mtrs. Bottom side cover peeloff width 250 mm along length.
Belt was replaced on 24.04.25
Re-joint on 23-05-25",Closed,,>90 days,,,,
,1651e13f-b49d-4370-99d3-c127b0151b2e,27,RMHS,J50C2,A,260,1400,SAR70,45761,"1st Ply visible along the length of the belt & Step crack in joint area.
2. Internal cracks throughout the length of the belt.",Replace,Yes,Yes,Critical,Planned,Available,45811,"Step crack in joint area, crack present throughout the length & ply visible at skirt area.

Same Belt Specification belt available at SP3 under UMC 5660Y0066 and will be installed in J50C2. Spare joint to be expedited

Spare under PO 4414289617 to reach by last week of Jul'25.

RTG inspection done on 30 .05.25
Housekeeping to be maintained as observations are critical.

Replaced on 03-06-25
",Closed,,>90 days,,,,
,74a9e32e-0766-42ce-8a13-a209bfc3b5a0,28,RMHS,J50C1,A,260,1400,SAR70,45761,1. 1st Ply visible along the length of the belt & 2nd ply visible in skirt area throughout the length of the belt.,Replace,Yes,Yes,Critical,Planned,Not Available ,45811,"Throughcut of 3.5 mtr near joint area.
Belt under PO 413983179 schedule to received in last week of May'25

Short piece was added on 10.05.25

Spare uder PO 413983179 to reach by last week of May'25
",Closed,,>90 days,,,,
,d9a9c1e4-c8e8-4c9a-aabe-bee2882b4c17,29,RMHS,SCR4,B,90,1600,HAR,45761,1st Ply visible along the length of the belt,Replace,Yes,Yes,Marginal,Planned,Available,45833,Replaced on 25-06-25,Closed,,>90 days,,,,
,0bdc231c-144d-4445-827e-3ffd8b828571,30,RMHS,J26C2,A,340,1200,SAR70,45761,Multiple cracks in mother belt. Skirt area is dmaged & deep line mark upto 2nd ply is  present throughout the length. Throughcut is also present in the belt. Belt is damaged at center,Replace,No,Yes,OK,Planned,Available,45796,Replaced on 19-05-25,Closed,,>90 days,,,,
,2134d16e-7d42-447c-8589-59267805f10e,31,SP#3,SP3-1003,B,175,1000,SAR70,45761,Cracks present throughout the length of the belt & hardness increased,Operate under observation,No,No,OK,Planned,Available,,Cracks present throughout the belt & width of belt has reduced from 1000mm to 700mm,Open,,>90 days,,,,
,10e7f650-0944-4553-a3b3-027eba002c3d,32,RMHS,CJ2RC2,B,9,1800,FR,45763,1st Ply visible along the length of the belt,Replace,Yes,Yes,OK,Planned,Available,45791,Replaced on 14-05-25,Closed,,>90 days,,,,
,b582013b-05d8-488c-95d2-ddab01b60c94,33,DRI,BC1030,A,126,800,HRT1,45764,1.st Ply visible along the length of the belt,Piece addition,No,,Critical,Planned,Available,45769,Piece Addition on 22-04-25,Closed,,>90 days,,,,
,9bad8e78-9275-48c7-adb3-4da31e8f4165,34,DRI,BC2070,A,22,650,SHR,45764,3rd ply visible along the length of the belt in skirt area,Replace,Yes,Yes,OK,Planned,Available,45786,Replaced on 09-05-25,Closed,,>90 days,,,,
,f1981b7b-fbde-451c-a966-a7e63ddeffd9,35,CO#2,25BC22,B,299,1000,FR,45767,"1. Internal cracks throughout the length of the  belt & hardness has increased (90 Shore A)
2. Step crack in joint area",Replace,No,,Critical,Planned,Available,45785,Replaced on 08-05-25,Closed,,>90 days,,,,
,642afee5-f25b-4647-ada7-c1bb6935c018,36,RMBB,J78C1,B,700,800,FR,45768,Step crack in 2 joints out  joint area,Piece addition,No,,Critical,Planned,,45796,Re-joint is being done on 30-04-2025,Closed,,>90 days,,,,
,9658c649-642c-465e-9f19-df510c746f13,37,RMHS,J27C1,A,750,1200,SAR70,45777,"Out of 750mtr 430 MTR has been replaced on 19-07-2024. Rest the old belt has 1st ply visible along the length of the belt & internal cracks throughout the length. The New belt is also having highwear rate of 0.892MM/MONTH
08/06/2025 Peel off of 100 mtr at edge observed.",Piece addition,Yes,No,Marginal,Planned,Available,45825,Piece Addition on 17-06-25,Closed,,>90 days,,,,
,95ffeb64-6caa-4c2f-ba22-09014811c828,38,RMPP,JPP4C2,B,134,1000,SAR70,45779,"1. Joint Edge separation due to contounous rubbing in NDE side
2. Joint 1st step damage.",Piece addition,No,No,Marginal,Planned,Available,45822,Piece addition,Closed,,>90 days,,,,
,6077a5da-9ce0-4138-ad97-095989e0670e,39,RMPP,BC11(COAL),A,50,800,SAR70,45779,1st ply is visible at center along the length of the belt. 2nd ply is visible at center in multiple areas. 2nd ply is visible at skirt area along the length of the belt.,Replace,Yes,Yes,OK,Planned,Available,45798,Replaced,Closed,,>90 days,,,,
,cc1780e9-b762-4b23-856f-535a5159f899,40,CO#2,25BC03A,A+,45,1600,FR,45781,1st ply is visible at center along the length of the belt but belt can still operate.,Replace,Yes,Yes,OK,,,45825,Replaced,Closed,,>90 days,,,,
,6524b7b5-67d3-44dd-a4e9-26a6e600a352,41,SP#1,J37C2,A+,250,1000,FR,45782,"2 hot joints present in belt, out of which 1st joint has Crack present in first step of joint area & 2nd joint is ok",Rejoint,No,No,Critical,,,45825,Rejoint,Closed,,>90 days,,,,
,22f47ce4-71ef-49b1-9733-b3765b05839f,42,RMHS,J33C2,A,277,1200,SAR70,45782,Multiple cracks observed along the length of the belt & throughcut is also present in belt,Piece addition,No,No,Critical,Planned,Available,45804,Piece addition,Closed,,>90 days,,,,
,d2560799-3069-4ca5-8a06-75aa86323b9b,43,SP#2,SP2-2009,A,326,1000,SAR70,45782,Crack present at retun side in joint area.,Replace,No,,Critical,Planned,Available,45818,Replaced,Closed,,>90 days,,,,
,90245237-3441-47de-a5c0-0a9fae197e6e,44,BF#1,RFTH2C1,A,200,650,SAR70,45782,Step crack in joint area.,Rejoint,No,No,Critical,Planned,Available,45825,Rejoint,Closed,,>90 days,,,,
,24d4f7af-ac3d-4b8a-ab10-170385752852,45,BF#1,RFTH1C1,A,70,650,SAR70,45782,1st Ply is visible throughout the length of the belt,Replace,Yes,Yes,OK,Planned,Available,45825,Belt Replaced,Closed,,>90 days,,,,
,43a38683-8cf0-43bc-ac6e-019c328b6475,46,SP#3,SP3-7004,A,188,1000,HRT3,45782,1. Crack present in 1st step of joint area.,Rejoint,No,,Critical,Planned,,45796,Rejoint,Closed,,>90 days,,,,
,a597c54c-71ce-4869-a345-efe5a099dca0,47,SP#2,SP2-1025,A,320,1000,SAR70,45782,"1st Ply is visible throughout the length of the belt at skirt area.
Thickness of belt is <1mm at center.
Bottom ply also visible along the length",Replace,Yes,Yes,Marginal,Planned,Available,45818,Replaced,Closed,,>90 days,,,,
,a5fdef4b-ede5-4bb6-b77d-d01423d21795,48,RMHS,J23RC1,A,17,1400,SAR70,45783,Belt joint(fastner joint) has been damaged & throughcut is also present in belt.,Replace,No,Yes,Critical,Planned,Available,45719,Replaced,Closed,,>90 days,,,,
